date,close,high,low,open,volume,sma_20,sma_50,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,atr_14,obv,stoch_k,stoch_d,returns,log_returns,vol_20,future_return_5d
2020-01-02,152.1583709716797,152.26257663838246,149.9890168529734,150.41530750587003,22622100,,,152.1583709716797,152.1583709716797,,0.0,0.0,0.0,,,,,0.0,,,,,,0.009152262704286374
2020-01-03,150.26376342773438,151.52369966939423,149.7332670007078,149.9795792382155,21116200,,,151.8668928879958,152.0180296721282,,-0.1511367841324045,-0.0302273568264809,-0.1209094273059236,,,,,-21116200.0,,,-0.012451549867722678,-0.012529719985339633,,0.01714778476892942
2020-01-06,150.6521453857422,150.71846465674278,148.26489736372372,148.80487615350108,20813700,,,151.68000865687986,151.91685305832183,,-0.23684440144197083,-0.07155076574957889,-0.16529363569239194,,,,,-302500.0,,,0.0025846681139101157,0.0025813336037793927,,0.02672463134571479
2020-01-07,149.27854919433594,151.25844269298102,149.03225142604057,150.92688967276914,21634100,,,151.31055335495003,151.72142314247102,,-0.4108697875209941,-0.13941457010386193,-0.2714552174171322,,,,,-21936600.0,,,-0.009117667643492089,-0.009159487971779384,,0.028874431559096747
2020-01-08,151.65631103515625,152.32891395537885,149.62904874222338,150.55741741152548,27746500,,,151.36374684421253,151.71660002341068,,-0.3528531791981493,-0.1821022919227194,-0.1707508872754299,,,,,5809900.0,,,0.01592835577283691,0.01580283069830492,,0.019301640374816298
2020-01-09,153.55096435546875,153.67412047600544,152.5468083247831,153.31413455747898,21385000,,,151.70024184594425,151.85247886282238,,-0.15223701687813218,-0.17612923691380197,0.023892220035669792,,,,,27194900.0,,,0.01249307270749389,0.012415678204775732,,0.02517103052374625
2020-01-10,152.8404541015625,154.62141856495847,152.68887958234973,154.24249672186824,20725900,,,151.87565911603937,151.92566221384016,,-0.050003097800782825,-0.15090400909119817,0.10090091129041534,,,,,6469000.0,,,-0.0046271949960629,-0.004637933602049769,,0.03570110752682165
2020-01-13,154.6782684326172,154.70668685049705,152.7646797173632,153.23833928861814,21626500,,,152.30682978012828,152.1295589707866,,0.17727080934167816,-0.0852690454046229,0.26253985474630104,,,,,28095500.0,,,0.012024397217725191,0.011952678497335856,,0.01972073578017941
2020-01-14,153.58888244628906,154.98144297107078,153.20047806483123,154.78249955826826,23477400,,,152.50406865184533,152.23765700600902,,0.26641164583631394,-0.014932907156435539,0.28134455299274946,,,,,4618100.0,,,-0.007042915578038711,-0.007067833975665774,,0.022019450204711966
2020-01-15,154.58352661132812,155.3034983915867,154.00567582656228,154.05303021846976,21417900,,,152.82398526099652,152.41142512492155,,0.41256013607497266,0.0705657014898461,0.34199443458512657,,,,,26036000.0,,,0.006476016682958052,0.006455137381575085,,0.021693874493055043
2020-01-16,157.41600036621094,157.4823196362133,155.3887382345589,155.69188726038482,23865400,,,153.5304491233372,152.78213440205408,,0.7483147212831227,0.20611550544850143,0.5421992158346213,,,,,49901400.0,,,0.018323257445177488,0.01815740941731076,,-0.006800036640635332
2020-01-17,158.29702758789062,158.64753102974288,156.7149919685834,158.60016218369577,34371700,,,154.26376888711465,153.19064500841233,,1.0731238787023187,0.37951718009926494,0.6936066986030538,,,,,84273100.0,,,0.005596808581275647,0.005581204642559544,,-0.02884485809638071
2020-01-21,157.7286376953125,159.32960936368943,157.66231841676765,157.89914820309696,29517200,,,154.7968256268374,153.52679261484937,,1.2700330119880334,0.5576203464770186,0.7124126655110148,,,,,54755900.0,,,-0.0035906542355164106,-0.0035971161073047706,,-0.00624606748790546
2020-01-22,156.9708251953125,158.6665350539603,156.95187475950405,158.58126532029598,24138800,,,155.1312870989105,153.78190613932813,,1.349380959582362,0.7159724690980874,0.6334084904842746,,,,2.145000486638214,30617100.0,78.68191988032713,,-0.004804533349637374,-0.004816112222264857,,0.014121571966824842
2020-01-23,157.93704223632812,158.0128294992705,156.5634324259856,157.43496426740944,19680800,,,155.56294173543628,154.08969399836516,65.56144058500368,1.4732477370711194,0.8674275226926939,0.6058202143784256,,,,2.086131721486489,50297900.0,87.41433913291405,,0.006155392505667212,0.006136525460346641,,0.03634807462628609
2020-01-24,156.34556579589844,158.70439597949334,155.78665089637408,158.68544554672874,24918100,,,155.68334543704586,154.25679561299725,66.64956772859284,1.4265498240486068,0.9792519829638765,0.44729784108473025,,,,2.1213203723541585,25379800.0,73.03098744431352,79.70908215251823,-0.010076650910356366,-0.010127764012960144,,0.03144697730284696
2020-01-27,153.73097229003906,154.77302928468092,151.76054644422686,152.66049687326566,32078100,,,155.38298033750635,154.21784573722258,57.512868056762386,1.1651346002837784,1.0164285064278569,0.14870609385592148,,,,2.273566947972195,-6698300.0,45.63035384409509,68.69189347377421,-0.016723170193855053,-0.016864581181429923,,0.07456223195177958
2020-01-28,156.7434539794922,157.02763819872118,154.47936148498258,155.1519500770846,24899900,,,155.59228397473495,154.40492782924255,66.86660750860852,1.1873561454924015,1.050614034240766,0.1367421112516356,,,,2.350029422382314,18201600.0,73.34014511276983,64.00049546705948,0.01959580196871169,0.01940627617975793,,0.08860104792102352
2020-01-29,159.1875,159.86010294143955,156.96130872089228,158.99803906528018,34754500,,,156.14539413246803,154.75919243448385,66.96555626647961,1.386201697984177,1.1177315669894483,0.2684701309947286,,,,2.3547640081612036,52956100.0,91.695805287759,70.22210141487464,0.015592651293926396,0.01547233499503784,,0.07057830367221252
2020-01-30,163.67774963378906,164.8808486198426,161.79257991981058,164.8808486198426,51597500,155.06430053710938,,157.30421805574818,155.41982630109905,70.42421694405067,1.8843917546491298,1.2710636045213846,0.6133281501277452,162.14633324837212,147.98226782584663,0.0865362913054219,2.6173025209464464,104553600.0,90.83024940387568,85.28873326813483,0.028207300408569003,0.027816800797458248,,0.06279700767751017
2020-01-31,161.2621612548828,163.31784241229383,160.64640948856473,163.13786388648447,36142700,155.51949005126954,,157.9131323940766,155.8525918532312,65.89229201997378,2.060540540845409,1.4289589917861896,0.6315815490592194,162.97549774196727,148.0634823605718,0.09247064075884662,2.6957883182761315,68410900.0,72.41917665273475,84.98174378145647,-0.014758196421388092,-0.014868182070162094,0.012969975138557164,0.0802442016952869
2020-02-03,165.19349670410156,165.30717036186377,161.42315656565438,161.45157498009493,30107000,156.2659767150879,,159.03318844177275,156.54451073107344,68.38987516238414,2.4886777106993065,1.640902735568813,0.8477749751304935,164.45944184337682,148.07251158679898,0.09919839814233421,2.8460027449794967,98517900.0,99.16087093400579,87.47009899687207,0.024378536282947838,0.02408612264710435,0.013273330311704001,0.08211953293335639
2020-02-04,170.63108825683594,171.12369816863662,167.02180529379913,167.8080817735197,36433300,157.2649238586426,,160.81748072101325,157.58796091816697,75.87018554928093,3.2295198028462835,1.9586261490243073,1.2708936538219762,167.2519107161857,147.27793700109947,0.11705940528856716,3.1423767848577477,134951200.0,97.45594147178919,89.6786630195099,0.03291649890112991,0.03238635327990345,0.014663250209023109,0.02398412731202093
2020-02-05,170.4226837158203,174.49615834021887,169.0111876454054,174.3351158434909,39186300,158.3221305847168,,162.29520425867588,158.53868112540056,74.63192176687261,3.756523133275323,2.3182055458745103,1.4383175874008125,169.1873847056858,147.45687646374782,0.1275094827057974,3.4116878383945926,95764900.0,82.08328571118207,92.900032705659,-0.0012213749741895041,-0.0012221214604916568,0.014327390768133507,0.026737199924683264
2020-02-06,173.9562225341797,174.13621548794777,170.5742861837626,171.43635009131322,27751400,159.43712615966797,,164.08920707029185,159.68072122975457,75.17326676585748,4.408485840537281,2.7362616048070647,1.6722242357302166,171.88391967583195,146.990332643504,0.1431025959846694,3.469883463197612,123516300.0,97.62515383581729,92.38812700626283,0.02073397004034705,0.0205219469946509,0.014528444263351167,0.00043542350944858477
2020-02-07,174.2025146484375,175.85085514230525,172.86679120280033,173.21730911108827,33529100,160.4697036743164,,165.64510054385272,160.7564096311385,74.68414917377572,4.888690912714225,3.1667474663884967,1.721943446325728,174.21879472121475,146.72061262741806,0.15785180913887187,3.5449923830794297,157045400.0,93.15766138384599,90.95536697694844,0.001415828135779451,0.001414826796162857,0.014518451464040731,0.007939623717737154
2020-02-10,178.7591094970703,178.89173359155058,173.59622334452445,173.90884037900125,35844300,161.7656364440918,,167.6626403828093,162.08994295454085,79.04262072599886,5.572697428268441,3.6479374587644857,1.9247599695039552,177.26189221159214,146.26938067659145,0.17337584429793004,3.804150904515455,192889700.0,99.51117474235382,96.76466332067235,0.026156883313817714,0.025820642772657592,0.014911167702374235,-0.007790164485204976
2020-02-11,174.72352600097656,180.65373798592051,173.83304379083776,180.60636914294562,53159900,162.76789932250978,,168.74893047791195,163.0257639209435,72.48088300865254,5.723166556968465,4.062983278405282,1.6601832785631832,178.9134330197098,146.62236562530975,0.18481236118265817,4.168867611703062,139729800.0,79.47540001878556,90.71474538166179,-0.02257554038755094,-0.0228342692776551,0.016353169450833437,0.018171408320605487
2020-02-12,174.97930908203125,176.05925222698292,172.26997600540625,175.80347203464285,47062900,163.83742065429686,,169.70745026316106,163.9112117106537,71.97666014471147,5.796238552507361,4.409634333225698,1.3866042192816632,180.2544104877673,147.42043082082643,0.18764492692989276,4.336001836581046,186792700.0,80.3606711411423,86.44908196742722,0.001463930398550195,0.001462859897076706,0.016098203644355748,0.0011571017918203808
2020-02-13,174.03196716308594,176.4192004614971,173.23620827534248,173.43515161101328,35295800,164.80984268188476,,170.3727605554572,164.66089729972276,73.19258856387759,5.711863255734443,4.670080117727447,1.0417831380069957,181.22287036197315,148.39681500179637,0.18862083728224122,4.354948058226428,151496900.0,77.08189898630616,78.97265671541133,-0.005414022514520278,-0.0054287314481009825,0.01632344968968426,-0.025214725814417638
2020-02-14,175.5856170654297,175.64245390384997,173.02784369696806,173.59624099105812,23149500,165.71832351684571,,171.17473848006836,165.47013580088623,79.4787429927214,5.7046026791821305,4.8769846300183834,0.827618049163747,182.4170923309393,149.01955470275212,0.1902065680911782,4.214204547884309,174646400.0,80.6370901667301,79.35988676472618,0.008927382294586339,0.008887768805875976,0.016085671529091097,-0.07549626194221881
2020-02-18,177.36654663085938,177.81178775317247,175.72768867603537,175.83189435263932,27792200,166.67179946899415,,172.12732434942083,166.35135141792128,78.77352080645394,5.7759729314995525,5.056782290314618,0.7191906411849347,183.7595317270133,149.584067210975,0.19268269673855296,4.137740603531499,202438600.0,86.125562224324,81.28151712578675,0.010142798682457377,0.010091705693390617,0.01611772802761999,-0.09988158873437769
