date,close,high,low,open,volume,sma_20,sma_50,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,atr_14,obv,stoch_k,stoch_d,returns,log_returns,vol_20,future_return_5d,finbert_positive,finbert_negative,finbert_neutral,finbert_compound,finbert_confidence,finbert_uncertainty,news_volume,sentiment_ma3,sentiment_ma7,sentiment_momentum,sentiment_volatility,sentiment_dispersion,topic_relevance_score
2020-01-02,5.970753192901611,5.970753192901611,5.8913625714305295,5.9418839191567505,237536000,,,5.970753192901611,5.970753192901611,,0.0,0.0,0.0,,,,,0.0,,,,,,0.0129633831265822,0.7400961036289719,0.2599038963710281,0.6511772952696055,0.34882270473039445,0.34882270473039445,0.7153913786848508,6,0.34882270473039445,0.34882270473039445,0.0,0.0,0.7242885647473736,0.2369601789775479
2020-01-03,5.875186920166016,5.918989028814216,5.826158464010726,5.8510460365310895,205384000,,,5.956050689403828,5.963674209736012,,-0.0076235203321841,-0.0015247040664368,-0.0060988162657473,,,,,-205384000.0,,,-0.0160057315464338,-0.0161352066891582,,0.0349470342078181,0.8612971764556169,0.13870282354438318,0.39129802892161836,0.6087019710783816,0.6087019710783816,0.42988482310489934,3,0.47876233790438805,0.47876233790438805,0.1299396331739936,0.18376239152444668,0.3987207395467933,0.5001872054308008
2020-01-06,5.899825096130371,5.905051443474641,5.7557269623863725,5.781858699107725,262636000,,,5.947400598130988,5.958944645765223,,-0.011544047634235,-0.0035285727799964,-0.0080154748542385,,,,,57252000.0,,,0.0041935986546721,0.0041848300260254,,0.0629377434265241,0.19785075565018734,0.8021492443498126,0.5334061021223425,-0.4665938978776575,0.4665938978776575,0.5860064986421623,3,0.1636435926437062,0.1636435926437062,-0.6302374905213637,0.5610559500739579,0.9428090415820634,0.2985576073842779
2020-01-07,5.971251487731934,6.017044442487873,5.883149809298522,5.928196075296092,314856000,,,5.951069965761903,5.959856263688684,,-0.0087862979267807,-0.0045801178093533,-0.0042061801174274,,,,,372108000.0,,,0.0121065269627078,0.0120338291225712,,0.03063407966798,0.6595861603512576,0.3404138396487423,0.779516481435311,0.2204835185646889,0.2204835185646889,0.8563863857241591,3,0.12086386392180436,0.17785357412395186,0.04262994444073703,0.45898098766390827,0.8302806664846324,0.14937288471250815
2020-01-08,5.982451438903809,6.023764739731018,5.926952474390596,5.967021135605146,277108000,,,5.955897884706811,5.961529980371285,,-0.0056320956644739,-0.0047905133803774,-0.0008415822840965,,,,,649216000.0,,,0.0018756455317425,0.0018738887051085,,0.021590995137138,0.7480868566507102,0.2519131433492898,0.6371884230334133,0.3628115769665868,0.3628115769665868,0.7000230317415619,3,0.03890039921787273,0.21484517469247882,0.14796640227410796,0.40600437539614,0.8886465834402926,0.23871908957249774
2020-01-09,6.048154354095459,6.120576999500233,5.994397505336159,6.068811004490261,255112000,,,5.97009118768968,5.96794660064715,,0.0021445870425296,-0.003403493295796,0.0055480803383256,,,,,904328000.0,,,0.0109826073579779,0.0109227364857823,,0.0243190205156946,0.7488706053050733,0.2511293946949266,0.6358007036735025,0.3641992963264975,0.3641992963264975,0.6984984661995413,3,0.31583146395259104,0.23973752829814865,0.12446176802834885,0.4073289820720547,0.9428090415820634,0.23303877529660122
2020-01-10,6.080507278442383,6.185781374034128,6.066321616134521,6.155418721169793,316296000,,,5.987078278574711,5.976284428631982,,0.0107938499427291,-0.000564024648091,0.0113578745908201,,,,,1220624000.0,,,0.0053492226641034,0.0053349663899398,,0.0203015304254758,0.9524171361353252,0.04758286386467489,0.0011565288482489056,0.9988434711517511,0.9988434711517511,0.0012705768048854231,3,0.5752847814816118,0.3481812344200918,0.6506622367316592,0.5221005781251999,0.0,0.9538955149499223
2020-01-13,6.271146774291992,6.296283085616818,6.140985084223415,6.163633065444852,319840000,,,6.030781124069677,5.998126083866057,,0.03265504020362,0.0060797883222512,0.0265752518813688,,,,,1540464000.0,,,0.0313525643699985,0.0308711100800844,,-0.016033169631438,0.9499929410130277,0.050007058986972344,0.018569873716097973,0.981430126283902,0.981430126283902,0.02040109146352017,3,0.7814909645873835,0.43855372321345004,0.542876403070452,0.37397013336569523,0.0,0.9372657706011264
2020-01-14,6.154175281524658,6.2537250915044345,6.140984569750498,6.228339569543208,359088000,,,6.049764840601213,6.009685283692621,,0.0400795569085925,0.0128797420395194,0.027199814869073,,,,,1181376000.0,,,-0.0186523289881921,-0.0188284775021566,,0.0114443082226654,0.45016598878912334,0.5498340112108767,0.9333333146162044,-0.06666668538379561,0.06666668538379561,1.0253714488607013,3,0.6378689706839525,0.3420724865759962,-0.4087391719597918,0.45690226792769084,0.9428090415820634,0.042657750499868904
2020-01-15,6.111618518829346,6.189267527995452,6.085735515773977,6.1668687570940355,263104000,,,6.059280791097849,6.017235893702749,,0.0420448973951002,0.0187127731106356,0.0233321242844645,,,,,918272000.0,,,-0.0069151040957626,-0.0069391242266085,,0.0296857461028494,0.19782766316201297,0.802172336837987,0.5333575983320267,-0.46664240166797333,0.46664240166797333,0.5859532117820743,3,0.14937367974404436,0.34206555746309386,-0.8087079591310672,0.644141135759823,0.9428090415820634,0.2985886433143482
