date,close,high,low,open,volume,sma_20,sma_50,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_width,atr_14,obv,stoch_k,stoch_d,returns,log_returns,vol_20,future_return_5d,finbert_positive,finbert_negative,finbert_neutral,finbert_compound,finbert_confidence,finbert_uncertainty,news_volume,sentiment_ma3,sentiment_ma7,sentiment_momentum,sentiment_volatility,sentiment_dispersion,topic_relevance_score
2020-01-02,94.90049743652344,94.90049743652344,93.2074966430664,93.75,80580000,,,94.90049743652344,94.90049743652344,,0.0,0.0,0.0,,,,,0.0,,,,,,0.0016016820917905,0.7367462549314935,0.2632537450685065,0.6569582796058369,0.3430417203941631,0.3430417203941631,0.7217424391172325,6,0.3430417203941631,0.3430417203941631,0.0,0.0,0.7214578313482846,0.2333423573517564
2020-01-03,93.74849700927734,94.30999755859376,93.2249984741211,93.2249984741211,75288000,,,94.7232666015625,94.81516407154224,,-0.0918974699797416,-0.0183794939959483,-0.0735179759837933,,,,,-75288000.0,,,-0.0121390346559209,-0.0122133144726792,,0.0043680713305707,0.9124709927645157,0.08752900723548436,0.2186046511627906,0.7813953488372094,0.7813953488372094,0.24016175612744714,3,0.5622185346156863,0.5622185346156863,0.21917681422152313,0.3099628232298063,0.4714045207910317,0.6231104676255833
2020-01-06,95.1439971923828,95.18450164794922,93.0,93.0,81236000,,,94.78799438476562,94.8395220804934,,-0.0515276957277706,-0.0250091343423127,-0.0265185613854578,,,,,5948000.0,,,0.0148855739305064,0.014775871094842,,-0.0060854574966597,0.05789321154599368,0.9421067884540063,0.07016050051957534,-0.9298394994804247,0.9298394994804247,0.07707918804991078,3,0.0648658565836493,0.0648658565836493,-0.994705356064074,0.8888855578358854,0.4714045207910317,0.7414847377837317
2020-01-07,95.34300231933594,95.69450378417967,94.60199737548828,95.2249984741211,80898000,,,94.87338022085336,94.87681691300024,,-0.0034366921468915,-0.0206946459032285,0.0172579537563369,,,,,86846000.0,,,0.0020916204156393,0.0020894360230742,,-0.0196239068599812,0.6455610923886969,0.35443890761130314,0.8001387159461364,0.19986128405386358,0.19986128405386358,0.8790422259775474,3,0.017139044470216126,0.09861471345120287,0.10124657060266071,0.7289039474756661,0.816496580927726,0.13632258735767253
2020-01-08,94.59850311279295,95.5500030517578,94.3219985961914,94.9020004272461,70160000,,,94.83109143499792,94.85620107594788,,-0.0251096409499496,-0.0215776449125727,-0.0035319960373768,,,,,16686000.0,,,-0.0078086402612893,-0.0078392873382383,,-0.0158301150516383,0.5763142248695914,0.42368577513040856,0.8974463476191205,0.10255365238087957,0.10255365238087957,0.985945585914678,3,-0.20914152101522718,0.0994025012371382,0.003151151143741371,0.6312517932902724,0.0,0.09793873802373998
2020-01-09,95.05249786376952,95.89099884033205,94.79000091552734,95.49449920654295,63346000,,,94.86515396250124,94.87074157874947,,-0.0055876162482348,-0.0183796391797051,0.0127920229314702,,,,,80032000.0,,,0.0047991747864684,0.0047876954600311,,-0.0121563842709054,0.05080734661971652,0.9491926533802836,0.024143059298843195,-0.9758569407011568,0.9758569407011568,0.02652386163175201,3,-0.22448066808880454,-0.07980740575257762,-0.8960495349485792,0.7653168247279917,0.4714045207910317,0.7781805657799602
2020-01-10,94.15799713134766,95.34700012207033,94.0,95.26850128173828,57074000,,,94.75636060386222,94.81794569375674,,-0.0615850898945211,-0.0270207293226683,-0.0345643605718527,,,,,22958000.0,,,-0.0094105968020312,-0.0094551562424057,,-0.0097920208415897,0.4998062070653433,0.5001937929346567,0.9997416094075189,-0.00025839059248106144,0.00025839059248106144,1.0983284175879338,3,-0.29118722630425276,-0.06844326072970669,0.06818487013722563,0.5816124302761875,0.7286746343384293,0.00018382953320726872
2020-01-13,94.56500244140624,94.9000015258789,94.04000091552734,94.56549835205078,55616000,,,94.7269208865613,94.7992091565456,,-0.0722882699842841,-0.0360742374549915,-0.0362140325292926,,,,,78574000.0,,,0.0043225782456994,0.0043132627393767,,0.0003700738308183,0.14393273997434297,0.856067260025657,0.40566571969859266,-0.5943342803014073,0.5943342803014073,0.44566934475226677,3,-0.5234832038650151,-0.20235411797193104,-0.3919801623294763,0.5085296130070132,0.8392750033698627,0.4008620269072369
2020-01-14,93.47200012207033,94.35549926757812,92.92749786376952,94.29399871826172,68818000,,,94.5338561535627,94.70089737621409,,-0.1670412226513917,-0.0622676344942715,-0.1047735881571201,,,,,9756000.0,,,-0.0115582117180526,-0.0116255270463598,,0.0096392606918203,0.15109816398236547,0.8489018360176346,0.42466205387781375,-0.5753379461221863,0.5753379461221863,0.4665389509212051,3,-0.38997687233869155,-0.3961731601089875,-0.17916478601319874,0.4505829883892803,0.4714045207910317,0.45879348678542675
2020-01-15,93.10099792480467,93.94300079345705,92.75450134277344,93.6125030517578,57932000,,,94.31341642606148,94.58238630573932,,-0.2689698796778543,-0.1036080835309881,-0.1653617961468662,,,,,-48176000.0,,,-0.0039691265489248,-0.0039770244371111,,0.0121158567275705,0.0475373182464106,0.9524626817535895,0.0008213743007201568,-0.9991786256992798,0.9991786256992798,0.0009023719003673397,3,-0.7229502840409578,-0.406078749568824,-0.5930998761304558,0.40519726416815344,0.0,0.9542155875428122
