,prediction,signal,position,actual_return,strategy_return,equity,transaction_cost,cum_cost
2023-08-01,0.008802639320492744,1.0,0.5,0.0,-0.00025,99975.0,0.00025,0.00025
2023-08-02,0.009049514308571815,1.0,0.5,-0.026029753081901363,-0.013014876540950682,98673.83771781846,0.0,0.00025
2023-08-03,0.011412164196372032,1.0,0.5,-0.00356322475705817,-0.001781612378529085,98498.03918710344,0.0,0.00025
2023-08-04,0.016315722838044167,1.0,0.5,-0.007854595750184545,-0.003927297875092273,98111.20804710317,0.0,0.00025
2023-08-07,0.015245625749230385,1.0,0.5,0.01876217493902632,0.00938108746951316,99031.59787153265,0.0,0.00025
2023-08-08,0.02875720150768757,1.0,0.8,-0.012382983771605627,-0.010056387017284504,98035.69779639643,0.00015000000000000001,0.0004
2023-08-09,0.02913224697113037,1.0,1.0,-0.02376539869864891,-0.02386539869864891,95696.03678178518,9.999999999999998e-05,0.0005
2023-08-10,0.01583615317940712,1.0,1.0,0.001736528026254236,0.001736528026254236,95862.21563165821,0.0,0.0005
2023-08-11,0.016115685924887657,1.0,1.0,-0.013410015068687331,-0.013410015068687331,94576.70187551992,0.0,0.0005
2023-08-14,0.01972595602273941,1.0,1.0,0.015084052202983145,0.015084052202983145,96003.30178379624,0.0,0.0005
2023-08-15,0.02331492491066456,1.0,0.8114966554659996,-0.013847560313491214,-0.011331500553028829,94915.44031654057,9.425167226700021e-05,0.0005942516722670002
2023-08-16,0.02670343406498432,1.0,0.8408027704116996,-0.025368287699914505,-0.02134437963616201,92889.52912509085,1.4653057472850006e-05,0.0006089047297398502
2023-08-17,0.037817612290382385,1.0,0.815271009206789,-0.031261855665793314,-0.025499650498930746,90520.87859739078,1.2765880602455316e-05,0.0006216706103423055
2023-08-18,0.04836372286081314,1.0,0.6173230933564844,-0.006453923740086687,-0.004083130125442316,90151.27007100826,9.897395792515229e-05,0.0007206445682674578
2023-08-21,0.06060297042131424,1.0,0.8020671378398417,0.023477435991655415,0.01873810786740347,91840.53429398223,9.237202224167868e-05,0.0008130165905091366
2023-08-22,0.05089578777551651,1.0,0.5748377052621269,-0.007933815133831956,-0.004674270801794753,91411.24676611063,0.00011361471628885745,0.000926631306797994
2023-08-23,0.041052110493183136,1.0,0.5949501789071641,0.02308747432544611,0.013725840743616203,92665.94298139767,1.0056236822518605e-05,0.0009366875436205126
2023-08-24,0.027306418865919113,1.0,0.5565601588579935,-0.025455173017907562,-0.014186530148628926,91351.33478754095,1.919501002458529e-05,0.0009558825536450979
2023-08-25,0.028415497392416,1.0,0.5518352025781065,-0.004359296939214108,-0.0024079759876892803,91131.36296692918,2.3624781399435026e-06,0.0009582450317850414
2023-08-28,0.029846886172890663,1.0,0.5676163931280286,0.016672590049513936,0.009455744832732399,91993.07788140359,7.890595274961054e-06,0.0009661356270600025
2023-08-29,0.027019750326871872,1.0,0.5567146215082655,0.026631146179956433,0.014820497580095853,93356.4610695305,5.450885809881568e-06,0.000971586512869884
2023-08-30,0.019861910492181778,1.0,0.5151803631899349,-0.009698089674507138,-0.00501703248992031,92888.08867120068,2.076712915916529e-05,0.0009923536420290494
2023-08-31,0.018781688064336777,1.0,0.5346750515860557,0.0026769375017847707,0.001421544352661359,93020.13320908073,9.747344198060392e-06,0.0010021009862271097
2023-09-01,0.018484119325876236,1.0,0.5333746766941493,0.0016559895137642222,0.0008826126840669403,93102.23395852465,6.501874459531876e-07,0.0010027511736730628
2023-09-05,0.013893334195017815,1.0,0.5339144380301897,0.012720210880660776,0.006791234363305482,93734.51304908429,2.698806680201948e-07,0.001003021054341083
2023-09-06,0.012628240510821342,1.0,0.5436814887193439,-0.0032650748278337804,-0.0017800442685213021,93567.66146636863,4.883525344577089e-06,0.0010079045796856602
2023-09-07,0.010140398517251015,1.0,0.5483795861669936,-0.0016713492271719366,-0.000918882846260896,93481.68374728244,2.3490487238248535e-06,0.001010253628409485
2023-09-08,0.006335584446787834,1.0,0.5733236467364219,-0.0026113691048403886,-0.0015096316884466313,93340.56083520819,1.2472030284714164e-05,0.0010227256586941992
2023-09-11,0.004417572170495987,1.0,0.5736141634212214,0.03246139983688612,0.018620173452574804,95078.57826812039,1.4525834239975666e-07,0.001022870917036599
2023-09-12,0.0006990544497966766,0.0,0.5315448630718043,-0.01918346374784563,-0.010217906261266235,94107.07426792226,2.103465017470857e-05,0.0010439055672113076
2023-09-13,-0.0024764854460954666,0.0,0.0,0.011271203220774906,-0.0002657724315359021,94082.06320196934,0.0002657724315359021,0.0013096779987472097
2023-09-14,-0.004206591285765171,-1.0,-0.5276345754097336,0.021831707864960137,-0.01178298119750245,92973.49602023831,0.0002638172877048668,0.0015734952864520765
2023-09-15,-0.014805959537625313,-1.0,-0.5425710418839345,-0.03660349325356416,0.01985252723794077,94819.25488238667,7.468233237100441e-06,0.001580963519689177
2023-09-18,-0.01753450371325016,-1.0,-0.5254702206214523,0.007459186020716713,-0.003928130534593705,94446.79247201573,8.550410631241068e-06,0.001589513930320418
