,prediction,signal,position,actual_return,strategy_return,equity,transaction_cost,cum_cost
2023-08-01,0.07620465755462646,1.0,0.5,0.0,-0.00025,99975.0,0.00025,0.00025
2023-08-02,0.07126686722040176,1.0,0.5,-0.026425663778747666,-0.013212831889373833,98654.04713185986,0.0,0.00025
2023-08-03,0.07851286977529526,1.0,0.5,0.005459768439170398,0.002729884219585199,98923.36125832332,0.0,0.00025
2023-08-04,0.08700398355722427,1.0,0.5,0.08269337801006271,0.041346689005031356,103013.51471160358,0.0,0.00025
2023-08-07,0.06245328485965729,1.0,0.5,0.01898684357254843,0.009493421786274214,103991.4654564474,0.0,0.00025
2023-08-08,0.021652618423104286,1.0,0.5,-0.016031491771390738,-0.008015745885695369,103157.89629506746,0.0,0.00025
2023-08-09,-0.01062797848135233,-1.0,-0.5,-0.01493494570121734,0.006967472850608669,103876.64613682924,0.0005,0.00075
2023-08-10,-0.006124597974121571,-1.0,-0.5,0.005150463718840648,-0.002575231859420324,103609.13968824795,0.0,0.00075
2023-08-11,0.007651146501302719,1.0,0.5,-0.0010825194798443905,-0.0010412597399221952,103501.2556624026,0.0005,0.00125
2023-08-14,0.018804069608449936,1.0,0.5,0.015605834874352187,0.007802917437176093,104308.86741498038,0.0,0.00125
2023-08-15,0.01429419219493866,1.0,0.19882299008118295,-0.020630355012962953,-0.004252377375073025,103865.30674716544,0.00015058850495940852,0.0014005885049594086
2023-08-16,0.014177333563566208,1.0,0.20126391446807299,-0.018885675014943426,-0.0038022253430728416,103470.38744558532,1.2204621934450156e-06,0.0014018089671528537
2023-08-17,0.021850941702723503,1.0,0.2054046288570264,-0.008069975106044458,-0.001659680598736981,103298.65965099809,2.0703571944767077e-06,0.0014038793243473305
2023-08-18,0.03411051630973816,1.0,0.2133708351017016,-0.005672447612115605,-0.0012143179871900974,103173.22223053126,3.9831031223376e-06,0.0014078624274696681
2023-08-21,0.03996148705482483,1.0,0.2214983553477835,0.01095925117625085,0.0024233923512597846,103423.25142813956,4.063760123040952e-06,0.0014119261875927091
2023-08-22,0.03508922457695007,1.0,0.22878624570491224,-0.0031926989840012077,-0.0007340895593940883,103347.32949906756,3.643945178564367e-06,0.0014155701327712735
2023-08-23,0.029339490458369255,1.0,0.23652846984416054,0.009459994580714559,0.0022336869308408414,103578.17507830693,3.8711120696241495e-06,0.0014194412448408976
2023-08-24,0.023476427420973778,1.0,0.24353357097391012,-0.027154721211281152,-0.006616588775949156,102892.8408876505,3.502550564874793e-06,0.0014229437954057724
2023-08-25,0.029786529019474983,1.0,0.2412783154959991,0.010770617478674804,0.0025975888143674663,103160.11418021875,1.127627738955514e-06,0.0014240714231447279
2023-08-28,0.02581517957150936,1.0,0.24706659048019983,-0.0009004586682715976,-0.00022536739053030528,103136.86525447915,2.8941374921003654e-06,0.0014269655606368283
2023-08-29,0.022179489955306053,1.0,0.25380018348030786,0.013294308852149106,0.00337073122941927,103484.51190709684,3.3667965000540175e-06,0.0014303323571368822
2023-08-30,0.01277635432779789,1.0,0.25206743618617145,0.0011860029483812262,0.0002980863488606277,103515.35922741485,8.663736470682082e-07,0.0014311987307839503
2023-08-31,0.008251084014773369,1.0,0.2622033260123125,0.021766395374215985,0.005702153317505374,104105.61967644622,5.0679449130705265e-06,0.001436266675697021
2023-09-01,-0.009500647895038128,-1.0,-0.25786343331307676,0.0007970481467276525,-0.0004655629512937121,104057.1519569034,0.00026003337966269463,0.0016963000553597155
2023-09-05,-0.013068502768874168,-1.0,-0.6866139266937046,-0.006154002858205887,0.004011048820666711,104474.53027354206,0.00021437524669031392,0.0019106753020500294
2023-09-06,-0.008066471666097641,-1.0,-0.7242285996343776,-0.013914209970579572,0.0100582614655412,105525.36241552293,1.88073364703365e-05,0.0019294826385203659
2023-09-07,0.004862332716584206,1.0,0.7304346314693401,0.018395430569861038,0.01270932793346442,106866.5188517595,0.0007273316155518587,0.0026568142540722246
2023-09-08,0.01312527246773243,1.0,0.7127250647350101,0.0027565441218631026,0.0019558033043326263,107075.52874245228,8.854783367164998e-06,0.0026656690374393895
2023-09-11,0.016187986359000206,1.0,0.7146767720133131,0.035231212663680456,0.025177953486954556,109771.4714247208,9.75853639151536e-07,0.002666644891078541
2023-09-12,0.0052955010905861855,1.0,0.6166533492949158,-0.013067856717097759,-0.008107349324063595,108881.51576006414,4.901171135919869e-05,0.0027156566024377398
2023-09-13,0.003878360614180565,0.0,0.6174359579352006,0.025632022130484877,0.01582574083363205,110604.64641005592,3.913043201423938e-07,0.002716047906757882
2023-09-14,-0.004573551472276449,-1.0,-0.611336382997995,-0.0008975138235036706,-6.570331591516303e-05,110597.37931803116,0.0006143861704665978,0.0033304340772244796
2023-09-15,-0.0035340157337486744,0.0,-0.6443498965413434,-0.029919857618376344,0.01926235040416085,112727.74479223698,1.6506756771674237e-05,0.003346940833996154
2023-09-18,0.007758686318993568,1.0,0.5814499725376148,-0.0029204620264398073,-0.0023110024996100516,112467.23069224671,0.0006128999345394791,0.003959840768535633
2023-09-19,0.02263910137116909,1.0,0.5835729043921742,-0.016788047695762587,-0.0097981112188178,111365.26425745164,1.0614659272797367e-06,0.003960902234462912
2023-09-20,0.042012788355350494,1.0,0.5689404886313767,-0.01700219075536713,-0.00968055092404285,110287.18714563789,7.316207880398773e-06,0.003968218442343311
2023-09-21,0.06034892052412033,1.0,0.553645701607352,-0.04405345369833069,-0.024397652674551303,107596.43865920538,7.647393512012324e-06,0.003975865835855324
2023-09-22,0.07518912106752396,1.0,0.4839263466140416,-0.0016238050792075631,-0.0008206617370908958,107508.13837895052,3.4859677496655226e-05,0.004010725513351979
2023-09-25,0.07870806753635406,1.0,0.506725116572761,0.01665124873434287,0.008426206571012571,108414.02416099656,1.139938497935969e-05,0.004022124898331338
2023-09-26,0.07450002431869507,1.0,0.5005331263132556,-0.040298626825268746,-0.020173893666112743,106226.89116565723,3.095995129752671e-06,0.004025220893461091
2023-09-27,0.07224113494157791,1.0,0.2838508842842286,0.0,-0.00010834112101451351,106215.38242518646,0.00010834112101451351,0.004133562014475604
2023-09-28,0.06325910985469818,1.0,0.288182446950748,0.0,-2.1657813332597033e-06,106215.15238589389,2.1657813332597033e-06,0.004135727795808864
2023-09-29,0.05692785978317261,1.0,0.2883416781170807,0.009049050319664964,0.002609138738954935,106492.28245464792,7.961558316635364e-08,0.00413580741139203
2023-10-02,0.04262504726648331,1.0,0.29720084184566464,0.01840783446134764,0.005466394316603862,107074.41126222018,4.42958186429196e-06,0.004140236993256322
2023-10-03,0.019879240542650223,1.0,0.28874323592077566,-0.03661366636292884,-0.010576177307518177,105941.97330361282,4.2288029624444894e-06,0.004144465796218766
2023-10-04,0.01584087498486042,1.0,0.271547262475515,0.018280939360016735,0.004955541051970807,106466.97310144566,8.597986722630319e-06,0.004153063782941397
2023-10-05,-0.004207635764032602,-1.0,-0.26612759721122736,-0.008188983586829512,0.0019104770957217453,106670.37581500679,0.00026883742984337125,0.004421901212784768
2023-10-06,-0.005334711633622646,-1.0,-0.2727447471147627,0.015878056641289273,-0.004333965118254089,106208.07012707349,3.3085749517676734e-06,0.004425209787736536
2023-10-09,-0.015552695840597153,-1.0,-0.26772659286721623,0.0023444468936362206,-0.0006301798561151275,106141.13994072254,2.5090771237732402e-06,0.004427718864860309
2023-10-10,-0.01586952991783619,-1.0,-0.2921240126466942,0.009511938819224852,-0.0027908644458115614,105844.91440702407,1.219870988973898e-05,0.004439917574750048
2023-10-11,-0.026463860645890236,-1.0,-0.28975503708314476,0.01814956889912689,-0.005260113497191377,105288.15814414262,1.1844877817747123e-06,0.004441102062531822
2023-10-12,-0.04385364055633545,-1.0,-0.29699118950221864,0.0037927633547389927,-0.0011300353764338955,105169.17880072018,3.618076209536941e-06,0.00444472013874136
2023-10-13,-0.047555312514305115,-1.0,-0.2959491037880602,-0.019194502454286222,0.005680074756146651,105766.54759835084,5.210428570792125e-07,0.0044452411815984385
2023-10-16,-0.029986785724759102,-1.0,-0.48748216831974517,0.021265196921155027,-0.010462170837136865,104659.99990852272,9.576653226584248e-05,0.004541007713864281
2023-10-17,-0.01784002035856247,-1.0,-0.2930751512739541,-0.008147882355257097,0.0022907383453064597,104899.74858353293,9.720350852289553e-05,0.004638211222387176
2023-10-18,-0.001211634837090969,0.0,0.0,-0.025405007278304192,-0.00014653757563697707,104884.37682869057,0.00014653757563697707,0.004784748798024153
2023-10-19,0.022493528202176094,1.0,0.29049508944293795,0.002107149015711185,0.0004668688970671504,104933.34408202015,0.00014524754472146898,0.004929996342745622
2023-10-20,0.03799251466989517,1.0,0.5274385244138906,-0.025155731161039308,-0.013386573441616575,103528.64616499178,0.00011847171748547633,0.005048468060231098
2023-10-23,0.05407228320837021,1.0,0.5042216591701577,0.011104892625885654,0.005587718952108648,104107.13514325405,1.160843262186645e-05,0.005060076492852964
2023-10-24,0.06455599516630173,1.0,0.5105914702030656,0.015802781594350446,0.008065580582040885,104946.8196309174,3.1849055164539507e-06,0.0050632613983694185
2023-10-25,0.06296566873788834,1.0,0.5709933461226216,-0.055771610960691276,-0.031875419699053976,101601.59570910099,3.020093795977802e-05,0.005093462336329196
2023-10-26,0.06694015115499496,1.0,0.28444578703159307,-0.01499299533713827,-0.004407968138178815,101153.73911242715,0.0001432737795455143,0.0052367361158747105
2023-10-27,0.06731715053319931,1.0,0.09860190792136386,0.0683281608245998,0.006644365082508217,101825.84148455093,9.29219395551146e-05,0.005329658055429825
2023-10-30,0.04550584405660629,1.0,0.22667081772329264,0.03890722509168998,0.008755098071976612,102717.33671300972,6.40344549009644e-05,0.005393692510330789
2023-10-31,-0.0019412394613027573,0.0,0.2176203259620375,0.002863308000901066,0.0006185887746051723,102780.87650445772,4.525245880627568e-06,0.005398217756211417
2023-11-01,-0.04818877577781677,-1.0,-0.23021094357696145,0.02937864429857373,-0.006987201059756077,102062.72585522312,0.0002239156347694995,0.0056221333909809166
2023-11-02,-0.07612455636262894,-1.0,-0.2263553036290436,0.007810272439553012,-0.001769824409454532,101882.09275170909,1.9278199739589246e-06,0.005624061210954876
2023-11-03,-0.07638650387525558,-1.0,-0.22764621279167008,0.0038386235328597973,-0.000874493564169827,101792.99751729357,6.454545813132373e-07,0.005624706665536189
2023-11-06,-0.05827851593494415,-1.0,-0.2287401578902764,0.008225103459209127,-0.0018819584364726575,101601.42732684205,5.469725493031652e-07,0.005625253638085492
2023-11-07,-0.029909217730164528,-1.0,-0.22865676578722663,0.02125376487729147,-0.004859858833695144,101107.65873273167,4.169605152488931e-08,0.0056252953341370164
2023-11-08,-0.019897952675819397,-1.0,-0.079288366756739,-0.004414580990635519,0.0002753407171475935,101135.49778799625,7.468419951524381e-05,0.00569997953365226
2023-11-09,-0.01180986687541008,-1.0,-0.07958854205912104,-0.010416636461610618,0.0008288948214882795,101219.32847838136,1.500876511910179e-07,0.005700129621303451
2023-11-10,-0.006002149544656277,-1.0,-0.07899370159396711,0.021052569890351647,-0.001663317843937152,101050.96856317193,2.9742023257696424e-07,0.005700427041536028
2023-11-13,-0.011223074048757553,-1.0,-0.07982257018474813,-0.006756765374750118,0.0005389279440524768,101105.4277539042,4.144342953905089e-07,0.005700841475831418
2023-11-14,-0.014496737159788609,-1.0,-0.08026386667468557,0.02251214528584833,-0.0018071324760294504,100922.71685190726,2.2064824496872277e-07,0.005701062124076387
2023-11-15,-0.025095339864492416,-1.0,-0.07980706097243656,-0.017832688951265996,0.0014229460915850566,101066.32443740383,2.2840285112450675e-07,0.0057012905269275115
2023-11-16,-0.028171248733997345,-1.0,-0.08109253766015541,-0.0025837648398919777,0.0002088813092400662,101087.43530357239,6.42738343859424e-07,0.005701933265271371
2023-11-17,-0.0316847488284111,-1.0,-0.08091361078378065,0.016453061783939793,-0.0013313661008253874,100952.85091898983,8.946343818738018e-08,0.005702022728709558
2023-11-20,-0.04102030768990517,-1.0,-0.08398685682328065,0.0065436854591447435,-0.0005511201967735231,100897.21376392651,1.536623019750001e-06,0.005703559351729308
2023-11-21,-0.05188538134098053,-1.0,-0.08402559073836485,-0.015260459261028925,0.0012822497373891641,101026.5891897786,1.9366957542100994e-08,0.00570357871868685
2023-11-22,-0.059251874685287476,-1.0,-0.0826394000895606,0.019527539517508297,-0.0016144372462764754,100863.48810132635,6.930953244021279e-07,0.005704271814011253
2023-11-24,-0.07182751595973969,-1.0,-0.10011651728936537,0.0002044767086364363,-2.9210054535374683e-05,100860.54187333828,8.738558599902386e-06,0.005713010372611156
2023-11-27,-0.07374052703380585,-1.0,-0.10346143824284995,0.006746559883569869,-0.0006996812492223953,100789.9716434031,1.672460476742292e-06,0.005714682833087898
2023-11-28,-0.06966730207204819,-1.0,-0.22319639013286158,-0.00473835354015173,0.0009977159293901256,100890.53140363451,5.986747594500581e-05,0.005774550309032903
2023-11-29,-0.0578373521566391,-1.0,-0.2524609641957911,-0.0048288883967405605,0.001204473533603525,101012.05137850138,1.463228703146477e-05,0.005789182596064368
2023-11-30,-0.044119641184806824,-1.0,-0.24906240428763293,-0.001571972217158657,0.00038981989992481703,101051.42788626095,1.6992799540790916e-06,0.005790881876018447
2023-12-01,-0.02747219055891037,-1.0,-0.3430048225917552,0.006434406632690459,-0.0022540037146812648,100823.65759243147,4.697120915206113e-05,0.005837853085170508
2023-12-04,-0.018689192831516266,-1.0,-0.34364749883872275,-0.014894936132684111,0.0051182862092359295,101339.70192865153,3.213381234837831e-07,0.005838174423293992
2023-12-05,-0.008023636415600777,-1.0,-0.3262789199128588,0.014084566393959497,-0.004604181399924985,100873.11555795769,8.684289462931982e-06,0.005846858712756924
2023-12-06,-0.008037766441702843,-1.0,-0.32110589254451427,-0.016067541747663228,0.005156795820195473,101393.29761863705,2.586513684172259e-06,0.005849445226441096
2023-12-07,0.0001303134486079216,0.0,-0.32466846293813406,0.016329923474831087,-0.0053035924396675725,100855.54889195388,1.7812851968098953e-06,0.005851226511637906
2023-12-08,-0.0006586965173482895,0.0,-0.25207321486813794,0.0036764247561378305,-0.0009630258315354711,100758.42239311723,3.629762403499806e-05,0.005887524135672904
2023-12-11,-0.001354428008198738,0.0,0.0,-0.010378502226973785,-0.00012603660743406897,100745.7231433884,0.00012603660743406897,0.006013560743106973
2023-12-12,0.004271901212632656,1.0,0.334755101974629,0.010898597193382598,0.003480983463863882,101096.41733970554,0.0001673775509873145,0.0061809382940942875
2023-12-13,0.0045174723491072655,1.0,0.3332836142341894,0.009221593773735215,0.0030726703580397506,101407.05330456927,7.357438702197961e-07,0.006181674037964507
2023-12-14,0.0052515435963869095,1.0,0.35,-0.00954043404920335,-0.003347510110104078,101067.59216839637,8.358192882905291e-06,0.006190032230847412
2023-12-15,0.008905518800020218,1.0,0.35,0.01729753821347546,0.006054138374716411,101679.46935658324,0.0,0.006190032230847412
2023-12-18,0.005072916857898235,1.0,1.0,0.027338841569267247,0.027013841569267248,104426.22243262916,0.00032500000000000004,0.006515032230847412
2023-12-19,-0.0024541220627725124,0.0,0.9528000877164704,-0.0018174467759756174,-0.0017552634037113493,104242.92690600535,2.35999561417648e-05,0.006538632186989177
2023-12-20,-0.0030288700945675373,0.0,0.0,-0.01085895208954335,-0.0004764000438582352,104193.26557105542,0.0004764000438582352,0.0070150322308474115
2023-12-21,0.0032639261335134506,0.0,0.0,0.011306871390431628,0.0,104193.26557105542,0.0,0.0070150322308474115
2023-12-22,0.01204531267285347,1.0,1.0,-0.0027300973670256745,-0.0032300973670256745,103856.71117827256,0.0005,0.007515032230847412
2023-12-26,0.02018124982714653,1.0,1.0,-6.514474615582078e-05,-6.514474615582078e-05,103849.94545918627,0.0,0.007515032230847412
2023-12-27,0.02369152195751667,1.0,1.0,-0.0004563413242133496,-0.0004563413242133496,103802.55443755594,0.0,0.007515032230847412
2023-12-28,0.02621127851307392,1.0,1.0,0.0002609139551152939,0.0002609139551152939,103829.63797258532,0.0,0.007515032230847412
2023-12-29,0.028617417439818382,1.0,1.0,-0.009388462612883952,-0.009388462612883952,102854.83729837043,0.0,0.007515032230847412
