,portfolio_return,portfolio_equity
2023-07-31,-0.00025,99975.0
2023-08-01,-0.0023609046156396613,99738.96856105143
2023-08-02,-0.0057451724457315,99165.9509871088
2023-08-03,0.0023160817908599585,99395.62744046334
2023-08-04,-0.002348790159352687,99162.1679688485
2023-08-07,-0.004228428938336207,98742.86778822087
2023-08-08,-0.0011445298360352185,98629.85362994157
2023-08-09,-0.0035943770326234614,98275.34074932309
2023-08-10,0.0038146806730567917,98650.2297923176
2023-08-11,-0.003995848349959424,98256.03843437885
2023-08-14,0.004567150706606515,98704.78856974277
2023-08-15,-0.006727447423689581,98040.75729417343
2023-08-16,-0.0024534231475271673,97800.22183082682
2023-08-17,-0.0022186578236691457,97583.23660350527
2023-08-18,0.010272734783907903,98585.68331248843
2023-08-21,0.004683315573380012,99047.39117845813
2023-08-22,0.003779240101653151,99421.71505116389
2023-08-23,0.00464153792506054,99883.18471214843
2023-08-24,-0.008584691610306167,99025.71837433938
2023-08-25,0.004311968830101598,99452.71418534797
2023-08-28,0.0017361858286915667,99625.38257834146
2023-08-29,-0.00017775571381850597,99607.67359734682
2023-08-30,-0.0022289112861889025,99385.65692947467
2023-08-31,0.004525738160564165,99835.45038965314
2023-09-01,-0.002650215800470014,99570.86490158344
2023-09-04,0.010630153451479996,100629.31847478385
2023-09-05,0.00830219028634658,101464.76222514687
2023-09-06,-0.0007617418808870766,101387.47226632571
2023-09-07,-0.0040802633040989645,100973.78468374208
2023-09-08,0.005561828792289601,101535.38358666256
2023-09-11,0.004522578605001537,101994.58534012224
2023-09-12,0.00934905507605463,102948.1383359264
2023-09-13,0.0038063120493330937,103339.99107533082
2023-09-14,0.0015281677470784113,103497.91191667553
2023-09-15,-0.0029033338175438956,103197.42292896265
2023-09-18,6.548743376918521e-05,103204.18106336187
2023-09-19,-0.0009534368818608409,103105.78239077382
2023-09-20,-0.008340843904648516,102245.79315418571
2023-09-21,-0.004126204317651421,101823.90612101123
2023-09-22,0.00035784400770052334,101860.34319565729
2023-09-25,-0.0036562726251848326,101487.91401123906
2023-09-26,-0.004562470296526274,101024.8784181064
2023-09-27,0.0012590853854150391,101152.07736608596
2023-09-28,-0.007380969390164407,100405.47697929534
2023-09-29,0.0021151934030880794,100617.85398183584
2023-10-02,0.015296194367973578,102156.92423323037
2023-10-03,-0.006224088822785311,101521.0904629402
2023-10-04,-0.0007195762502211645,101448.03829734652
2023-10-05,-0.008214335079413904,100614.7101176229
2023-10-06,-0.0005180169109103251,100562.58999629563
2023-10-09,-0.0012824361085232924,100433.62489971776
2023-10-10,0.0006883062529307815,100502.75399174076
2023-10-11,0.005182685820868331,101023.62818981196
2023-10-12,0.00979783184910658,102013.44071160241
2023-10-13,-0.006344765730660588,101366.18932890866
2023-10-16,0.010313057025255597,102411.58461989055
2023-10-17,0.0023120399706511655,102648.36429698944
2023-10-18,0.001957735504516789,102849.32264425424
2023-10-19,0.004750486386525239,103337.90695133912
2023-10-20,-0.011051123176651495,102195.90701280252
2023-10-23,0.015558473523552375,103785.91932627663
2023-10-24,0.00273970711633414,104070.26234803011
2023-10-25,0.015258017370248686,105658.16821866271
2023-10-26,-4.995365485941164e-05,105652.89020699445
2023-10-27,-0.0008094784474601063,105567.36646946002
2023-10-30,0.0005481225999890565,105625.23032884326
2023-10-31,0.0016132165306726176,105795.62669646586
2023-11-01,0.00913760917836329,106762.34578599817
2023-11-02,-0.0024120260653341828,106504.83222516612
2023-11-03,0.003548729371787098,106882.78905152083
2023-11-06,-0.0023593218741622293,106630.6181493401
2023-11-07,0.0036927453854796047,107024.3778724619
2023-11-08,-0.0002480802827578995,106997.82723453733
2023-11-09,0.0037514729217232355,107399.2266860909
2023-11-10,0.007044443916227729,108155.79451512732
2023-11-13,-0.0013314409941716377,108011.79145655266
2023-11-14,0.003806057457374668,108422.89054091027
2023-11-15,-0.010705127752552291,107262.20964636884
2023-11-16,-0.006232911607132979,106593.65377485726
2023-11-17,-0.004132788540783766,106153.12474401626
2023-11-20,0.0027087275134944173,106440.66463365378
2023-11-21,-0.001490475551747234,106282.0174253056
2023-11-22,0.0006808089631990589,106354.37517539563
2023-11-23,0.004962910794914688,106882.20245204002
2023-11-24,-0.00042284851095319217,106837.00747188576
2023-11-27,0.0022943960155045735,107082.1338761377
2023-11-28,0.004909449407077276,107607.8481948045
2023-11-29,-0.0047846383612421715,107092.9835563609
2023-11-30,0.002365383152751163,107346.29949544299
2023-12-01,-0.007705276561993159,106519.16656992405
2023-12-04,-0.006731848168704941,105802.09571351833
2023-12-05,0.0016322437308828714,105974.79052096099
2023-12-06,-0.013367200387648678,104558.20426002821
2023-12-07,0.0015298307382592352,104718.1606148424
2023-12-08,0.0036849348175014814,105104.04021091675
2023-12-11,-0.0034195321843068947,104744.63356271484
2023-12-12,0.004508417369554797,105216.86608803664
2023-12-13,-1.469900279045328e-05,105215.3195050284
2023-12-14,-0.012314596304948217,103919.63532022783
2023-12-15,0.0052801409677027955,104468.3456440309
2023-12-18,0.0021175308832520256,104689.56059225436
2023-12-19,0.0029276184929649222,104996.05168586462
2023-12-20,-0.0015453083620793708,104833.80040920913
2023-12-21,0.0038772151060125974,105240.26360377643
2023-12-22,0.0013975595876061482,105387.34314317808
2023-12-26,0.00010718143793828098,105398.63871015667
2023-12-27,-0.0007932639888190066,105315.02976559737
2023-12-28,0.001625489191864017,105486.2182082222
2023-12-29,0.0010108597379313072,105592.8499791155
2024-01-01,0.0,105592.8499791155
2024-01-02,-0.0067975921288507,104875.07285323457
2024-01-03,0.004521045691715374,105349.217849526
2024-01-04,-0.0022330770311997307,105113.96493089138
2024-01-05,-0.004004822944958469,104693.00211230057
2024-01-08,0.012043352887448159,105953.85688158537
2024-01-09,0.0007627649266133709,106034.67476745405
2024-01-10,0.007430146376195732,106822.52792192854
2024-01-11,0.0009643894585740576,106925.54644179468
2024-01-12,-0.0046114798280392786,106432.46144127627
2024-01-15,-0.0018459424605497979,106235.99324152099
2024-01-16,0.004757987670647659,106741.46278754315
2024-01-17,-0.002430040779254752,106482.07668013212
2024-01-18,0.0030350851831351475,106805.25885333345
2024-01-19,0.012186776099091912,108106.87062918459
2024-01-22,-0.005417993781843711,107521.14827634107
2024-01-23,0.006027490266043323,108169.23095097052
2024-01-24,0.00917516225933479,109161.70119641315
2024-01-25,0.00573841203439418,109788.1160162536
2024-01-26,-0.0023218630294032927,109533.20304860763
2024-01-29,0.014334262410878429,111103.2807238104
2024-01-30,-0.0027579213334761876,110796.866615683
2024-01-31,-0.026946395312668958,107811.29044845175
2024-02-01,0.015594335065238996,109492.5358355207
2024-02-02,0.018425924502191382,111510.0370343795
2024-02-05,-0.013545068623305068,109999.62593056154
2024-02-06,-0.000415659643173305,109953.90352529805
2024-02-07,0.021010338986515487,112264.0723112552
2024-02-08,1.5880936536250112e-05,112265.85516986287
2024-02-09,0.012441243320719409,113662.5819906398
2024-02-12,-0.010062998930997935,112518.79554957351
2024-02-13,-0.017003889031682946,110605.53843606995
2024-02-14,0.004168073796790539,111066.55048260525
2024-02-15,-0.0031972840935186467,110711.43916742523
2024-02-16,-0.0027447173916859114,110407.56755488382
2024-02-19,0.0008775091604524332,110504.45120679651
2024-02-20,-0.0014178500599577861,110347.77246402737
2024-02-21,-0.0006854027087128816,110272.13980188008
2024-02-22,0.010679059065274691,111449.7424960786
2024-02-23,-0.0013696534969147981,111297.09496653859
2024-02-26,-0.0029086505597683363,110973.37060896357
2024-02-27,-6.365872423631276e-05,110966.3061857664
2024-02-28,0.0002504787369921657,110994.10088598849
2024-02-29,0.006322086456856906,111695.81518799081
2024-03-01,0.0011339440071487107,111822.47198824682
2024-03-04,-6.666346409379406e-05,111815.01751490055
2024-03-05,-0.006484740560930859,111089.92613550049
2024-03-06,-0.0028368643556664335,110774.77908377307
2024-03-07,0.0006185399596201268,110843.29771115446
2024-03-08,-0.005525275167210866,110230.85799085925
2024-03-11,-0.0016182267463779518,110052.47946818227
2024-03-12,0.0033339304031899278,110419.38677542766
2024-03-13,0.0017936548574609486,110617.44104487525
2024-03-14,0.00306812311729264,110956.82897292079
2024-03-15,-0.0033304430711005232,110587.29357067663
2024-03-18,0.0032207768558307867,110943.47056635802
2024-03-19,0.0058868001836764675,111596.57260926577
2024-03-20,0.0011944227709293062,111729.86609674794
2024-03-21,0.0010814052238587216,111850.69135760599
2024-03-22,0.0013263896641657385,111999.0489585525
2024-03-25,-0.006117488616184078,111313.89605152511
2024-03-26,0.0005094210178339714,111370.60168975075
2024-03-27,0.0008849636632703036,111469.16062540273
2024-03-28,-0.00026738037405052884,111439.35595953962
2024-04-01,0.001231937724543148,111576.64230614498
2024-04-02,-0.0009376204148497303,111472.02576849835
2024-04-03,-0.00030315041043738484,111438.23297813436
2024-04-04,-0.0010562722351101248,111320.5238667098
2024-04-05,0.0038174136457557305,111745.48035357129
2024-04-08,-0.0001827405551973756,111725.05992245067
2024-04-09,0.0014384028967831027,111885.7655722864
2024-04-10,-0.0023686657446344212,111620.74559206312
2024-04-11,0.010933384639880906,112841.13813741143
2024-04-12,-0.0037007712367088264,112423.53889907502
2024-04-15,-0.002546122326668554,112137.29481664099
2024-04-16,0.002546091286768369,112422.80660589541
2024-04-17,-0.0066090181938962544,111679.80223162817
2024-04-18,-0.0030772650693219805,111336.13387727199
2024-04-19,0.0006467993112049954,111408.14601197604
2024-04-22,-0.002641450075491356,111113.86695628236
2024-04-23,0.0012159341847381598,111248.97410551296
2024-04-24,0.00297300929864703,111579.71833999359
2024-04-25,-0.00872276051440947,110606.43517864856
2024-04-26,0.004969512283181763,111156.0952168678
2024-04-29,-0.005105607060109544,110588.57587235435
2024-04-30,-0.002257175337675686,110338.95806626661
2024-05-01,0.005962720829178066,110996.87846979816
2024-05-02,-0.0018526384546709287,110791.24138439658
2024-05-03,0.002996150124701923,111123.18857608632
2024-05-06,-0.003142606571993425,110773.97211336625
2024-05-07,-0.00408127151852158,110321.87345598647
2024-05-08,0.00035009131388045577,110360.49618561444
2024-05-09,0.0012814276823993403,110501.91518047001
2024-05-10,0.00416236869771443,110961.86489325468
2024-05-13,-0.0032169423206047385,110604.90697410634
2024-05-14,0.0031840974140904927,110957.08377238832
2024-05-15,0.0027819762123836057,111265.76374003854
2024-05-16,-0.0031871475530760016,110911.14333339334
2024-05-17,0.0035624203770200044,111306.2554504428
2024-05-20,0.0051674393352105765,111881.42377311242
2024-05-21,0.001620022319584657,112062.67417677176
2024-05-22,-0.00033253629295565873,112025.40927052232
2024-05-23,-0.004263655050113965,111547.77156854497
2024-05-24,0.0036810098591268615,111958.38001545242
2024-05-27,0.00017819519790353676,111978.33046113624
2024-05-28,0.0004633913146313386,112030.22024689884
2024-05-29,0.0015240172606877538,112200.95623627378
2024-05-30,-0.004177762964504691,111732.20723672786
2024-05-31,6.247564784755128e-05,111739.1877787604
2024-06-03,0.004335200096614756,112223.59951641454
2024-06-04,0.0033695039074868698,112601.73737349732
2024-06-05,0.009644971508867988,113687.77792231375
2024-06-06,-2.4618443345756442e-05,113684.97910619386
2024-06-07,-0.010628053709478627,112476.7290422923
2024-06-10,0.007486859445223315,113318.82650349039
2024-06-11,0.004133708123359933,113787.25345713747
2024-06-12,0.007363532322344818,114625.12957583995
2024-06-13,-0.006763961454867066,113849.80961762983
2024-06-14,0.0071650172999740865,114665.5454731389
2024-06-17,0.010484102893398984,115867.71085020702
2024-06-18,0.0013058886289056492,116019.02117626363
2024-06-19,0.002809872227880561,116345.01980177272
2024-06-20,0.001725034574692429,116545.71898352406
2024-06-21,-0.0008984679163450689,116441.00639422999
2024-06-24,-0.002113056167135575,116194.9600075612
2024-06-25,-0.0010188057974875125,116076.57990866667
2024-06-26,-0.0014926139873978714,115903.32238188568
2024-06-27,-0.00979284049484971,114768.29963297672
2024-06-28,-0.004154327836017952,114291.51449111899
